[2025-12-09 13:35:46] VIEW: dashboard | main_page
[2025-12-09 22:09:31] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:09:31] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:09:35] VIEW: dashboard | ods_tables
[2025-12-09 22:09:35] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:09:35] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:12:49] VIEW: dashboard | ods_tables
[2025-12-09 22:12:49] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:12:49] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:13:01] UPDATE: row | area=S92000003, updates=4
[2025-12-09 22:13:04] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:13:04] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:13:11] VIEW: dashboard | ods_tables
[2025-12-09 22:13:11] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:13:11] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:13:24] UPDATE: row | area=K02000001, updates=4
[2025-12-09 22:13:26] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:13:26] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:13:55] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:13:57] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:14:01] UPDATE: row | area=E92000001, updates=1
[2025-12-09 22:14:37] VIEW: dashboard | ods_tables
[2025-12-09 22:14:37] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:14:37] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:14:44] UPDATE: row | area=K02000001, updates=4
[2025-12-09 22:14:46] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:14:46] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:14:51] VIEW: dashboard | ods_tables
[2025-12-09 22:14:51] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:14:51] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:15:09] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:15:09] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:15:18] UPDATE: row | area=K02000001, updates=4
[2025-12-09 22:15:20] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:15:20] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:15:22] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:15:22] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:15:37] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:15:44] UPDATE: row | area=E09000002, updates=4
[2025-12-09 22:15:46] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:15:49] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:16:18] UPDATE: row | area=E09000002, updates=4
[2025-12-09 22:16:19] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:16:23] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:16:35] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:16:37] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:16:56] VISUALIZE: table_comparison | table=table4, areas=1
[2025-12-09 22:17:26] VISUALIZE: table_comparison | table=table1, areas=4
[2025-12-09 22:18:03] VIEW: dashboard | ods_tables
[2025-12-09 22:18:05] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:18:05] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:18:17] UPDATE: row | area=K02000001, updates=4
[2025-12-09 22:18:18] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:18:18] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:18:20] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:18:20] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:18:24] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:18:24] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:18:28] UPDATE: row | area=K02000001, updates=4
[2025-12-09 22:18:30] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:18:30] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:18:35] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:18:35] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:22:13] VIEW: dashboard | ods_tables
[2025-12-09 22:22:15] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:22:15] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:22:15] ERROR: viz_table_comparison | unsupported operand type(s) for +: 'int' and 'NoneType'
[2025-12-09 22:23:10] UPDATE: row | area=K02000001, updates=4
[2025-12-09 22:23:13] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:23:13] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:23:13] ERROR: viz_table_comparison | unsupported operand type(s) for +: 'int' and 'NoneType'
[2025-12-09 22:23:14] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:23:15] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:23:15] ERROR: viz_table_comparison | unsupported operand type(s) for +: 'int' and 'NoneType'
[2025-12-09 22:23:32] VIEW: dashboard | ods_tables
[2025-12-09 22:23:32] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:23:33] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:23:49] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:23:56] VISUALIZE: table_comparison | table=table4, areas=1
[2025-12-09 22:24:52] VIEW: dashboard | ods_tables
[2025-12-09 22:24:52] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:24:52] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:25:02] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:27:48] UPDATE: row | area=E09000002, updates=4
[2025-12-09 22:27:49] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:27:53] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:28:06] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:28:10] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:28:13] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:28:54] UPDATE: row | area=E09000002, updates=4
[2025-12-09 22:28:55] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:28:58] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:29:10] VIEW: dashboard | ods_tables
[2025-12-09 22:29:12] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:29:12] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:29:26] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:29:35] VISUALIZE: table_comparison | table=table4, areas=1
[2025-12-09 22:30:11] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:30:11] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:33:32] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:34:02] UPDATE: row | area=E09000003, updates=4
[2025-12-09 22:34:04] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:34:08] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:35:51] QUERY: utla_table | cohort=24 months, year=2024
[2025-12-09 22:36:20] VIEW: dashboard | ods_tables
[2025-12-09 22:36:22] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:36:22] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:36:25] VISUALIZE: table_comparison | table=table1, areas=1
[2025-12-09 22:37:03] VISUALIZE: table_comparison | table=table1, areas=4
[2025-12-09 22:37:13] VISUALIZE: table_comparison | table=table1, areas=4
[2025-12-09 22:37:16] VISUALIZE: table_comparison | table=table1, areas=4
[2025-12-09 22:37:20] VISUALIZE: table_comparison | table=table1, areas=4
[2025-12-09 22:37:49] VIEW: dashboard | ods_tables
[2025-12-09 22:37:50] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:37:50] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:37:58] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:38:05] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:38:24] VIEW: dashboard | ods_tables
[2025-12-09 22:38:24] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:38:24] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:38:27] VISUALIZE: table_comparison | table=table1, areas=3
[2025-12-09 22:39:49] VIEW: dashboard | ods_tables
[2025-12-09 22:39:49] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:39:49] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:39:53] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:40:14] VIEW: dashboard | ods_tables
[2025-12-09 22:40:14] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:40:15] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:41:15] QUERY: utla_table | cohort=12 months, year=2024
[2025-12-09 22:42:01] VIEW: dashboard | ods_tables
[2025-12-09 22:42:01] QUERY: table1_uk_by_country | cohort=12 months, year=2024
[2025-12-09 22:42:01] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 22:42:07] VISUALIZE: table_comparison | table=table1, areas=1
[2025-12-09 22:55:18] VIEW: dashboard | ods_tables
[2025-12-09 22:55:20] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 22:55:20] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 23:04:28] VIEW: dashboard | ods_tables
[2025-12-09 23:04:32] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:04:32] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 23:05:44] UPDATE: row | area=K02000001, updates=4
[2025-12-09 23:05:46] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:05:46] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 23:05:57] UPDATE: row | area=K02000001, updates=4
[2025-12-09 23:05:58] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:05:58] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 23:06:43] VIEW: dashboard | ods_tables
[2025-12-09 23:06:44] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:06:44] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 23:06:53] UPDATE: row | area=K02000001, updates=4
[2025-12-09 23:06:55] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:06:55] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 23:07:26] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=1 columns
[2025-12-09 23:07:26] FILTER: table1_backend_filter | Filtered 1 rows
[2025-12-09 23:07:26] VISUALIZE: table_comparison | table=table1, areas=1
[2025-12-09 23:07:28] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:07:28] VISUALIZE: table_comparison | table=table1, areas=5
[2025-12-09 23:07:30] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=1 columns
[2025-12-09 23:07:30] FILTER: table1_backend_filter | Filtered 1 rows
[2025-12-09 23:07:30] VISUALIZE: table_comparison | table=table1, areas=1
[2025-12-09 23:08:54] VIEW: dashboard | ods_tables
[2025-12-09 23:08:54] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:08:55] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-09 23:09:08] QUERY: utla_table | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:09:15] VISUALIZE: table_comparison | table=table4, areas=1, vaccines=13
[2025-12-09 23:10:33] VIEW: dashboard | ods_tables
[2025-12-09 23:10:33] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:10:33] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-09 23:10:38] QUERY: utla_table | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:10:44] VISUALIZE: table_comparison | table=table4, areas=1, vaccines=13
[2025-12-09 23:14:10] PAGE_LOAD: index | main_page
[2025-12-09 23:14:15] PAGE_LOAD: index | main_page
[2025-12-09 23:14:16] PAGE_LOAD: index | main_page
[2025-12-09 23:15:12] PAGE_LOAD: index | main_page
[2025-12-09 23:15:17] PAGE_LOAD: index | main_page
[2025-12-09 23:15:54] VIEW: dashboard | ods_tables
[2025-12-09 23:15:56] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:15:56] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-09 23:16:06] UPDATE: row | area=K02000001, updates=4
[2025-12-09 23:16:07] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:16:07] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-09 23:16:16] ADMIN: reload_data | starting
[2025-12-09 23:16:29] ADMIN: reload_data | completed
[2025-12-09 23:17:59] VIEW: dashboard | ods_tables
[2025-12-09 23:17:59] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-09 23:17:59] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 10:21:59] VIEW: dashboard | ods_tables
[2025-12-10 10:21:59] VIEW: dashboard | table_view
[2025-12-10 10:21:59] VIEW: dashboard | charts_view
[2025-12-10 10:21:59] QUERY: get_vaccines | api_call
[2025-12-10 10:21:59] QUERY: get_vaccines | api_call
[2025-12-10 10:21:59] VISUALIZE: top_areas | vaccine=None
[2025-12-10 10:22:00] VISUALIZE: top_areas | vaccine=MMR1
[2025-12-10 10:22:00] VISUALIZE: trend | vaccine=MMR1
[2025-12-10 10:22:01] VISUALIZE: distribution | vaccine=MMR1
[2025-12-10 10:22:02] VISUALIZE: summary | vaccine=MMR1
[2025-12-10 10:22:02] EXPORT: csv | vaccine=MMR1
[2025-12-10 10:22:02] QUERY: filter_data | vaccine=MMR1, cohort=24 months
[2025-12-10 10:22:02] QUERY: get_summary | vaccine=MMR1
[2025-12-10 10:22:02] QUERY: get_top_areas | vaccine=MMR1, n=10
[2025-12-10 10:22:02] QUERY: get_trend | vaccine=MMR1
[2025-12-10 10:22:02] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 10:22:02] QUERY: utla_table | cohort=24 months, year=2024, filters=0 columns
[2025-12-10 10:22:03] QUERY: regional_table | cohort=24 months
[2025-12-10 10:22:03] QUERY: england_summary | cohort=24 months, year=2024
[2025-12-10 10:22:03] CREATE: vaccine | code=TEST999
[2025-12-10 10:22:03] DELETE: vaccine | code=TEST999
[2025-12-10 10:22:03] UPDATE: vaccine | code=NONEXISTENT999
[2025-12-10 10:25:16] VIEW: dashboard | ods_tables
[2025-12-10 10:25:16] VIEW: dashboard | table_view
[2025-12-10 10:25:16] VIEW: dashboard | charts_view
[2025-12-10 10:25:16] QUERY: get_vaccines | api_call
[2025-12-10 10:25:16] QUERY: get_vaccines | api_call
[2025-12-10 10:25:16] VISUALIZE: top_areas | vaccine=None
[2025-12-10 10:25:17] VISUALIZE: top_areas | vaccine=MMR1
[2025-12-10 10:25:18] VISUALIZE: trend | vaccine=MMR1
[2025-12-10 10:25:18] VISUALIZE: distribution | vaccine=MMR1
[2025-12-10 10:25:19] VISUALIZE: summary | vaccine=MMR1
[2025-12-10 10:25:19] EXPORT: csv | vaccine=MMR1
[2025-12-10 10:25:19] QUERY: filter_data | vaccine=MMR1, cohort=24 months
[2025-12-10 10:25:19] QUERY: get_summary | vaccine=MMR1
[2025-12-10 10:25:19] QUERY: get_top_areas | vaccine=MMR1, n=10
[2025-12-10 10:25:19] QUERY: get_trend | vaccine=MMR1
[2025-12-10 10:25:19] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 10:25:19] QUERY: utla_table | cohort=24 months, year=2024, filters=0 columns
[2025-12-10 10:25:20] QUERY: regional_table | cohort=24 months
[2025-12-10 10:25:20] QUERY: england_summary | cohort=24 months, year=2024
[2025-12-10 10:25:20] CREATE: vaccine | code=TEST999
[2025-12-10 10:25:20] DELETE: vaccine | code=TEST999
[2025-12-10 10:25:20] UPDATE: vaccine | code=NONEXISTENT999
[2025-12-10 11:44:10] VIEW: dashboard | ods_tables
[2025-12-10 11:44:11] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:44:12] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:44:21] QUERY: table1_uk_by_country | cohort=24 months, year=2024, filters=0 columns
[2025-12-10 11:44:21] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:48:58] VIEW: dashboard | ods_tables
[2025-12-10 11:49:00] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:49:00] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:50:00] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:50:00] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:51:04] VIEW: dashboard | ods_tables
[2025-12-10 11:51:04] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:51:04] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:51:09] VIEW: dashboard | charts_view
[2025-12-10 11:51:09] QUERY: get_vaccines | api_call
[2025-12-10 11:51:14] VIEW: dashboard | ods_tables
[2025-12-10 11:51:14] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:51:14] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:51:16] VIEW: dashboard | table_view
[2025-12-10 11:51:16] QUERY: utla_table | cohort=24 months, year=2024, filters=0 columns
[2025-12-10 11:51:21] VIEW: dashboard | activity_logs
[2025-12-10 11:51:32] VIEW: dashboard | ods_tables
[2025-12-10 11:51:32] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:51:32] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:52:56] VIEW: dashboard | ods_tables
[2025-12-10 11:52:56] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:52:57] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:52:58] VIEW: dashboard | activity_logs
[2025-12-10 11:52:59] VIEW: dashboard | ods_tables
[2025-12-10 11:53:00] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:53:00] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:53:50] VIEW: dashboard | ods_tables
[2025-12-10 11:53:50] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:53:50] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:53:51] VIEW: dashboard | activity_logs
[2025-12-10 11:54:00] VIEW: dashboard | ods_tables
[2025-12-10 11:54:00] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:54:00] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:54:45] VIEW: dashboard | activity_logs
[2025-12-10 11:54:48] VIEW: dashboard | ods_tables
[2025-12-10 11:54:48] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:54:49] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:54:50] VIEW: dashboard | activity_logs
[2025-12-10 11:54:51] VIEW: dashboard | ods_tables
[2025-12-10 11:54:51] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:54:52] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:55:04] VIEW: dashboard | activity_logs
[2025-12-10 11:55:05] VIEW: dashboard | ods_tables
[2025-12-10 11:55:05] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:55:05] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
[2025-12-10 11:55:06] VIEW: dashboard | activity_logs
[2025-12-10 11:55:08] VIEW: dashboard | ods_tables
[2025-12-10 11:55:08] QUERY: table1_uk_by_country | cohort=12 months, year=2024, filters=0 columns
[2025-12-10 11:55:09] VISUALIZE: table_comparison | table=table1, areas=5, vaccines=13
